;COD_PROVINCIA;NOM_PROVINCIA;COD_CANTON;NOM_CANTON;COD_PARROQUIA;NOM_PARROQUIA;EST_PARROQUIA;COD_ZONA;NOM_ZONA;COD_RECINTO;NOM_RECINTO;SEXO;JUNTA;ELECTORES;COD_JUNTA
0;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;1005;UNIDAD EDUCATIVA MANUEL CORDOVA GALARZA;F;1;350;1
1;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;1005;UNIDAD EDUCATIVA MANUEL CORDOVA GALARZA;F;8;350;15
2;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;987;UNIDAD EDUCATIVA ALFONSO CARRION HEREDIA;F;15;350;29
3;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA;F;22;350;43
4;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA;F;29;350;57
5;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6899;ESCUELA DE EDUCACION GENERAL BASICA SAN JUAN DE JERUSALEN;F;36;65;68
6;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;1005;UNIDAD EDUCATIVA MANUEL CORDOVA GALARZA;M;7;350;14
7;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;978;ESCUELA DE EDUCACIÓN BÁSICA ENRIQUETA CORDERO DAVILA;M;14;350;28
8;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA;M;21;350;42
9;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA;M;28;350;56
10;1;AZUAY;260;CUENCA;730;CUMBE;R;0; ;928;UNIDAD EDUCATIVA CUMBE / COLEGIO NACIONAL TECNICO DE CUMBE;F;1;350;71
11;1;AZUAY;260;CUENCA;730;CUMBE;R;0; ;1015;ESCUELA DE EDUCACION BASICA GENERAL GABRIEL ARSENIO ULLAURI;F;8;350;85
