;COD_PROVINCIA;NOM_PROVINCIA;COD_CANTON;NOM_CANTON;COD_PARROQUIA;NOM_PARROQUIA;EST_PARROQUIA;COD_ZONA;NOM_ZONA;COD_RECINTO;NOM_RECINTO;SEXO;JUNTA;ELECTORES;COD_JUNTA
0;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;987;UNIDAD EDUCATIVA ALFONSO CARRION HEREDIA;F;15;350;29
1;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA;F;30;350;59
2;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;978;ESCUELA DE EDUCACIÓN BÁSICA ENRIQUETA CORDERO DAVILA;M;9;350;18
3;1;AZUAY;260;CUENCA;285;BAÑOS;R;1;BAÑOS;6306;UNIDAD EDUCATIVA BORJA-ESCUELA;M;24;350;48
4;1;AZUAY;260;CUENCA;730;CUMBE;R;0; ;928;UNIDAD EDUCATIVA CUMBE / COLEGIO NACIONAL TECNICO DE CUMBE;F;5;350;79
5;1;AZUAY;260;CUENCA;845;CHAUCHA / ANGAS;R;1;CHAUCHA /ANGAS;2196;UNIDAD EDUCATIVA SAN GABRIEL DE CHAUCHA;M;2;154;90
6;1;AZUAY;260;CUENCA;860;CHECA JIDCAY;R;0; ;623;UNIDAD EDUCATIVA CHECA/COLEGIO CHECA;M;4;270;104
7;1;AZUAY;260;CUENCA;2255;LLACAO;R;0; ;1267;ESCUELA DE EDUCACION BASICA GONZALO S. CORDOVA;F;2;350;121
8;1;AZUAY;260;CUENCA;2430;MOLLETURO;R;1;MOLLETURO;464;UNIDAD EDUCATIVA MOLLETURO/COLEGIO MOLLETURO;F;5;350;139
9;1;AZUAY;260;CUENCA;2430;MOLLETURO;R;5;TAMARINDO;2085;ESCUELA DE EDUCACION BASICA 15 DE AGOSTO;M;1;84;150
10;1;AZUAY;260;CUENCA;2570;MULTI /  NULTI;R;1;MULTI /  NULTI;47;UNIDAD EDUCATIVA NULTI- ESCUELA MANUEL RAMON BALAREZO;F;5;350;169
11;1;AZUAY;260;CUENCA;2595;OCTAVIO CORDERO PALACIOS;R;0; ;2083;UNIDAD EDUCATIVA SANTA ROSA/ESCUELA EZEQUIEL MARQUEZ;F;3;350;182
12;1;AZUAY;260;CUENCA;2680;PACCHA;R;0; ;62;UNIDAD EDUCATIVA PACCHA- ESCUELA FISCAL MIXTA MANUEL CORONEL;M;4;350;192
13;1;AZUAY;260;CUENCA;3105;QUINGEO;R;1;QUINGEO;4601;UNIDAD EDUCATIVA DEL MILENIO QUINGEO;M;4;350;205
14;1;AZUAY;260;CUENCA;3165;RICAURTE;R;1;RICAURTE;1220;ESCUELA EDUCACION GENERAL BASICA ESTADOS UNIDOS DE NORTEAMERICA;F;7;350;231
15;1;AZUAY;260;CUENCA;3165;RICAURTE;R;1;RICAURTE;5858;UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO;F;22;350;261
16;1;AZUAY;260;CUENCA;3165;RICAURTE;R;1;RICAURTE;1119;ESCUELA DE EDUCACIÓN BÁSICA ISAAC A. CHICO;M;10;350;238
17;1;AZUAY;260;CUENCA;3165;RICAURTE;R;1;RICAURTE;5858;UNIDAD EDUCATIVA PARTICULAR SUDAMERICANO;M;25;209;268
18;1;AZUAY;260;CUENCA;3460;SAN JOAQUIN;R;1;SAN JOAQUIN;1627;ESCUELA DE EDUCACION BASICA GENERAL ANTONIO FARFAN;F;13;371;297
19;1;AZUAY;260;CUENCA;3460;SAN JOAQUIN;R;2;BARABON;1391;UNIDAD EDUCATIVA/ESCUELA DE EDUCACION BASICA EDUARDO CRESPO MALO;M;1;77;300
20;1;AZUAY;260;CUENCA;3685;SANTA ANA;R;0; ;5935;UNIDAD EDUCATIVA DANIEL HERMIDA;M;6;350;312
21;1;AZUAY;260;CUENCA;3795;SAYAUSI;R;1;SAYAUSI;5885;UNIDAD EDUCATIVA PARTICULAR LA ALBORADA;F;13;350;342
22;1;AZUAY;260;CUENCA;3795;SAYAUSI;R;1;SAYAUSI;5885;UNIDAD EDUCATIVA PARTICULAR LA ALBORADA;M;11;350;339
23;1;AZUAY;260;CUENCA;3850;SIDCAY;R;1;SIDCAY;775;ESCUELA DE EDUCACIÓN BASICA MIGUEL PRIETO;M;1;350;356
